title,authors,cover,summary,language,categories,editor,publicationYear,pagesNumber,amazonLink,kindleLink,audibleLink,fnacLink,ISBN,rating
"The Boy, the Mole, the Fox and the Horse",,"https://images-na.ssl-images-amazon.com/images/I/418D9yYGB3L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Comics', 'Graphic Novels', 'Graphic', 'Novels']",,,,https://www.amazon.com/dp/0062976583,,,,0062976583,4.8
The Last Anniversary: A Novel,,"https://images-na.ssl-images-amazon.com/images/I/41tHduyvl+L._SY344_BO1,204,203,200_.jpg",,,"['Literature', 'Fiction', 'Dramas', 'Plays']",,,,https://www.amazon.com/dp/0060890681,,,,9780060890681,4.2
And Then There Were None (Agatha Christie Mysteries Collection (Paperback)),,"https://images-na.ssl-images-amazon.com/images/I/51BuT4UsvNL._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,"['Mystery', 'Thriller', 'Suspense']",,,,https://www.amazon.com/dp/0062073478,,,,0062073478,4.5
And Then There Were None,,"https://images-na.ssl-images-amazon.com/images/I/51MlxNgCsyL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Mystery', 'Thriller', 'Suspense']",,,,https://www.amazon.com/dp/0062073486,,,,0062073486,4.5
The Secret Garden,,"https://images-na.ssl-images-amazon.com/images/I/51o1GtZNZeL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/0062981951,,,,0062981951,4.7
"War Lord: A Novel (Saxon Tales, 13)",,"https://images-na.ssl-images-amazon.com/images/I/51xvgL3vcHL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0062563297,,,,0062563297,4.8
To Kill a Mockingbird,,"https://images-na.ssl-images-amazon.com/images/I/51IXWZzlgSL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0060935464,,,,0060935464,4.8
The Alice Network: A Novel,,"https://images-na.ssl-images-amazon.com/images/I/51zasKuYksL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0062654195,,,,0062654195,4.6
The Last Mrs. Parrish: A Novel,,"https://images-na.ssl-images-amazon.com/images/I/51J--Mv0jxL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Mystery', 'Thriller', 'Suspense']",,,,https://www.amazon.com/dp/0062667580,,,,0062667580,4.4
Leave the World Behind: A Novel,,"https://images-na.ssl-images-amazon.com/images/I/41YsBIU+l8S._SY344_BO1,204,203,200_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0062667645,,,,0062667645,3.6
"Divergent 10th Anniversary Edition (Divergent Series, 1)",,"https://images-na.ssl-images-amazon.com/images/I/51vf+Zd6qxL._SY344_BO1,204,203,200_.jpg",,,"['Teen', 'Young Adult', 'Literature', 'Fiction']",,,,https://www.amazon.com/dp/0063040514,,,,0063040514,4.6
"Insurgent Anniversary Edition (Divergent Series, 2)",,"https://images-na.ssl-images-amazon.com/images/I/510leyjEUiL._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,"['Teen', 'Young Adult', 'Literature', 'Fiction']",,,,https://www.amazon.com/dp/0063040522,,,,0063040522,4.6
"Allegiant Anniversary Edition (Divergent Series, 3)",,"https://images-na.ssl-images-amazon.com/images/I/51jTXHiYOML._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Teen', 'Young Adult', 'Literature', 'Fiction']",,,,https://www.amazon.com/dp/0063040530,,,,0063040530,3.9
Hillbilly Elegy [movie tie-in]: A Memoir of a Family and Culture in Crisis,,"https://images-na.ssl-images-amazon.com/images/I/51aK9ixl7tL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Biographies', 'Memoirs', 'Historical']",,,,https://www.amazon.com/dp/0063045982,,,,0063045982,4.5
Finding Freedom: Harry and Meghan and the Making of a Modern Royal Family,,"https://images-na.ssl-images-amazon.com/images/I/41EOuDhySsL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Biographies', 'Memoirs', 'Leaders', 'Notable People']",,,,https://www.amazon.com/dp/0063046105,,,,0063046105,4.2
Finding Freedom: Harry and Meghan,,"https://images-na.ssl-images-amazon.com/images/I/41XlJlEmxhS._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,"['Biographies', 'Memoirs', 'Leaders', 'Notable People']",,,,https://www.amazon.com/dp/0063046113,,,,0063046113,4.2
The Woman in the Window: A Novel,,"https://images-na.ssl-images-amazon.com/images/I/51Q0ZA4gmBL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Mystery', 'Thriller', 'Suspense']",,,,https://www.amazon.com/dp/0062678426,,,,0062678426,4.4
Charlotte's Web,,"https://images-na.ssl-images-amazon.com/images/I/61+3z1o4oUL._SY344_BO1,204,203,200_.jpg",,,[],,,,https://www.amazon.com/dp/0061124958,,,,006112495,4.8
Corduroy,,"https://images-na.ssl-images-amazon.com/images/I/51sIORH4JqL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/0140501738,,,,0140501738,4.9
The Hating Game,,"https://images-na.ssl-images-amazon.com/images/I/51PYLBJfDkL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Humor', 'Entertainment']",,,,https://www.amazon.com/dp/0063063530,,,,0063063530,4.5
