title,authors,cover,summary,language,categories,editor,publicationYear,pagesNumber,amazonLink,kindleLink,audibleLink,fnacLink,ISBN,rating
"The Maze Runner (Maze Runner, Book One): Book One",['James Dashner'],"https://images-na.ssl-images-amazon.com/images/I/51HVjXW0E3L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Teen & Young Adult', 'Literature & Fiction']",,,,,,,,0385737947,4.5
The Maze Runner (Book 1),['James Dashner'],"https://images-na.ssl-images-amazon.com/images/I/51abqQT4ajL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Teen & Young Adult', 'Literature & Fiction']",,,,,,,,9780385737951,4.5
We Were Liars,['E. Lockhart'],"https://images-na.ssl-images-amazon.com/images/I/51M1xoZqIpL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Teen & Young Adult', 'Literature & Fiction']",,,,,,,,9780385741262,4.5
We Were Liars,['E. Lockhart'],"https://images-na.ssl-images-amazon.com/images/I/51Qhv7jm4uL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Teen & Young Adult', 'Literature & Fiction']",,,,,,,,0385741278,4.5
"The Boy in the Striped Pajamas by Boyne, John (2006) Hardcover",['John Boyne'],"https://images-na.ssl-images-amazon.com/images/I/61Yzcz5IMcL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,,,,,0385751060,4.7
The Boy In the Striped Pajamas (Movie Tie-in Edition) (Random House Movie Tie-In Books),['John Boyne'],"https://images-na.ssl-images-amazon.com/images/I/51UgZ4RHCqL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Teen & Young Adult', 'Literature & Fiction']",,,,,,,,0385751893,4.7
How to Babysit a Grandma,['Jean ReaganLee Wildish'],"https://images-na.ssl-images-amazon.com/images/I/51uw1zqXdbL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,,,,,0385753845,4.8
Norse Mythology,['Neil Gaiman'],"https://images-na.ssl-images-amazon.com/images/I/51KXyVpv3IL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature & Fiction', 'Literary']",,,,,,,,039360909X,4.7
Astrophysics for People in a Hurry,['Neil deGrasse Tyson'],"https://images-na.ssl-images-amazon.com/images/I/51wSvLJG-rS._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['History', 'Americas']",,,,,,,,9780393609394,4.7
The Overstory: A Novel,['Richard Powers'],"https://images-na.ssl-images-amazon.com/images/I/51EpM2WuOiL._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,"['Literature & Fiction', 'Genre Fiction']",,,,,,,,039363552X,4.4
